go	ontology	name	genes_day	transcripts_day	proteins_day	total_day	total_day_CPM	genes_night	transcripts_night	proteins_night	total_night	total_night_CPM
GO:0003997	molecular_function	acyl-CoA oxidase activity	40	57	31	57	64	46	53	13	53	81
GO:0010218	biological_process	response to far red light	132	145	74	145	162	49	52	24	52	80
GO:0018026	biological_process	peptidyl-lysine monomethylation	88	97	57	97	109	47	52	37	52	80
GO:0042732	biological_process	D-xylose metabolic process	72	79	51	79	88	47	52	28	52	80
GO:0051447	biological_process	negative regulation of meiotic cell cycle	72	83	63	83	93	47	52	41	52	80
GO:0031227	cellular_component	intrinsic component of endoplasmic reticulum membrane	70	96	80	96	107	46	52	46	52	80
GO:0000221	cellular_component	vacuolar proton-transporting V-type ATPase, V1 domain	64	80	50	80	90	45	52	34	52	80
GO:0030301	biological_process	cholesterol transport	62	69	49	69	77	47	52	35	52	80
GO:0005865	cellular_component	striated muscle thin filament	58	80	68	80	90	46	52	46	52	80
GO:0035066	biological_process	positive regulation of histone acetylation	58	62	41	62	69	48	52	35	52	80
GO:1904851	biological_process	positive regulation of establishment of protein localization to telomere	58	66	46	66	74	47	52	34	52	80
GO:0032781	biological_process	positive regulation of ATPase activity	57	64	48	64	72	47	52	31	52	80
GO:0045577	biological_process	regulation of B cell differentiation	57	67	58	67	75	47	52	37	52	80
GO:0048599	biological_process	oocyte development	57	69	43	69	77	47	52	29	52	80
GO:2001243	biological_process	negative regulation of intrinsic apoptotic signaling pathway	92	108	78	108	121	45	51	37	51	78
GO:0072383	biological_process	plus-end-directed vesicle transport along microtubule	75	88	64	88	99	47	51	38	51	78
GO:0009635	biological_process	response to herbicide	72	75	44	75	84	45	51	31	51	78
GO:0051560	biological_process	mitochondrial calcium ion homeostasis	72	95	72	95	106	45	51	41	51	78
GO:0010992	biological_process	ubiquitin recycling	71	83	62	83	93	46	51	41	51	78
GO:0070300	molecular_function	phosphatidic acid binding	69	75	52	75	84	45	51	32	51	78
GO:0071407	biological_process	cellular response to organic cyclic compound	61	68	43	68	76	46	51	35	51	78
GO:0006032	biological_process	chitin catabolic process	58	76	46	76	85	47	51	40	51	78
GO:0061634	molecular_function	alpha-D-xyloside xylohydrolase	57	62	55	62	69	45	51	46	51	78
GO:0005005	molecular_function	transmembrane-ephrin receptor activity	53	59	44	59	66	46	51	38	51	78
GO:0032000	biological_process	positive regulation of fatty acid beta-oxidation	39	48	32	48	54	48	51	32	51	78
GO:0006379	biological_process	mRNA cleavage	78	90	60	90	101	45	50	32	50	77
GO:0005851	cellular_component	eukaryotic translation initiation factor 2B complex	77	85	50	85	95	46	50	32	50	77
GO:0033198	biological_process	response to ATP	72	81	62	81	91	49	50	36	50	77
GO:0034446	biological_process	substrate adhesion-dependent cell spreading	71	74	46	74	83	49	50	35	50	77
GO:0010214	biological_process	seed coat development	70	90	56	90	101	47	50	30	50	77
GO:0043069	biological_process	negative regulation of programmed cell death	70	85	61	85	95	45	50	39	50	77
GO:0007389	biological_process	pattern specification process	69	80	58	80	90	49	50	37	50	77
GO:0017053	cellular_component	transcriptional repressor complex	69	70	40	70	78	49	50	34	50	77
GO:0034354	biological_process	de novo NAD biosynthetic process from tryptophan	69	85	66	85	95	46	50	38	50	77
GO:0046339	biological_process	diacylglycerol metabolic process	61	87	66	87	97	47	50	34	50	77
GO:0006809	biological_process	nitric oxide biosynthetic process	60	71	35	71	79	40	50	21	50	77
GO:0008355	biological_process	olfactory learning	60	76	55	76	85	46	50	31	50	77
GO:0006111	biological_process	regulation of gluconeogenesis	73	76	54	76	85	49	49	33	49	75
GO:0006139	biological_process	nucleobase-containing compound metabolic process	73	79	51	79	88	47	49	31	49	75
GO:0006458	biological_process	de novo protein folding	69	81	47	81	91	45	49	29	49	75
GO:0030514	biological_process	negative regulation of BMP signaling pathway	64	84	61	84	94	46	49	34	49	75
GO:0017108	molecular_function	5-flap endonuclease activity	64	75	42	75	84	49	49	33	49	75
GO:0015079	molecular_function	potassium ion transmembrane transporter activity	63	82	67	82	92	46	49	34	49	75
GO:0017183	biological_process	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	60	64	34	64	72	46	49	28	49	75
GO:0044615	cellular_component	nuclear pore nuclear basket	59	69	52	69	77	45	49	41	49	75
GO:0004579	molecular_function	dolichyl-diphosphooligosaccharide-protein glycotransferase activity	57	68	48	68	76	43	49	28	49	75
GO:0031261	cellular_component	DNA replication preinitiation complex	52	60	42	60	67	46	49	31	49	75
GO:0007569	biological_process	cell aging	69	73	49	73	82	46	48	31	48	74
GO:0004033	molecular_function	aldo-keto reductase (NADP) activity	64	76	60	76	85	43	48	33	48	74
GO:0043966	biological_process	histone H3 acetylation	64	64	47	64	72	45	48	30	48	74
GO:0071398	biological_process	cellular response to fatty acid	64	72	55	72	81	47	48	35	48	74
GO:0005656	cellular_component	nuclear pre-replicative complex	58	66	41	66	74	45	48	30	48	74
GO:0034332	biological_process	adherens junction organization	45	46	32	46	51	47	48	31	48	74
GO:0055091	biological_process	phospholipid homeostasis	70	79	59	79	88	40	47	35	47	72
GO:0043198	cellular_component	dendritic shaft	63	70	58	70	78	47	47	33	47	72
GO:0005246	molecular_function	calcium channel regulator activity	59	77	67	77	86	45	47	35	47	72
GO:0007257	biological_process	activation of JUN kinase activity	59	65	45	65	73	46	47	29	47	72
GO:0007617	biological_process	mating behavior	59	68	59	68	76	46	47	30	47	72
GO:0009788	biological_process	negative regulation of abscisic acid-activated signaling pathway	59	61	36	61	68	45	47	29	47	72
GO:0030702	biological_process	chromatin silencing at centromere	39	46	31	46	51	43	47	23	47	72
GO:0006937	biological_process	regulation of muscle contraction	73	81	69	81	91	46	46	35	46	70
GO:0008332	molecular_function	low voltage-gated calcium channel activity	69	94	93	94	105	40	46	46	46	70
GO:2000134	biological_process	negative regulation of G1/S transition of mitotic cell cycle	69	75	55	75	84	46	46	33	46	70
GO:0002064	biological_process	epithelial cell development	64	67	40	67	75	45	46	24	46	70
GO:0050688	biological_process	regulation of defense response to virus	64	73	48	73	82	45	46	29	46	70
GO:0034704	cellular_component	calcium channel complex	63	79	69	79	88	40	46	38	46	70
GO:0007100	biological_process	mitotic centrosome separation	60	71	49	71	79	40	46	36	46	70
GO:0030031	biological_process	cell projection assembly	57	60	32	60	67	45	46	26	46	70
GO:0009880	biological_process	embryonic pattern specification	56	63	48	63	71	45	46	27	46	70
GO:1990443	biological_process	peptidyl-threonine autophosphorylation	40	51	27	51	57	40	46	24	46	70
GO:0042644	cellular_component	chloroplast nucleoid	91	99	59	99	111	45	45	24	45	69
GO:0015108	molecular_function	chloride transmembrane transporter activity	78	97	76	97	109	43	45	35	45	69
GO:0009156	biological_process	ribonucleoside monophosphate biosynthetic process	59	77	57	77	86	40	45	31	45	69
GO:0020020	cellular_component	food vacuole	31	55	34	55	62	26	45	37	45	69
GO:0030585	molecular_function	phosphoenolpyruvate carboxykinase (diphosphate) activity	32	86	67	86	96	13	44	34	44	67
GO:0031123	biological_process	RNA 3-end processing	53	66	49	66	74	43	43	28	43	66
GO:0071215	biological_process	cellular response to abscisic acid stimulus	41	44	31	44	49	40	43	31	43	66
GO:0001890	biological_process	placenta development	63	70	50	70	78	40	42	31	42	64
GO:0060402	biological_process	calcium ion transport into cytosol	57	60	50	60	67	40	42	28	42	64
GO:0009916	molecular_function	alternative oxidase activity	56	87	49	87	97	26	42	34	42	64
GO:0016574	biological_process	histone ubiquitination	40	47	35	47	53	40	42	29	42	64
GO:0042264	biological_process	peptidyl-aspartic acid hydroxylation	75	89	69	89	100	40	41	30	41	63
GO:0030206	biological_process	chondroitin sulfate biosynthetic process	70	74	51	74	83	40	41	25	41	63
GO:0036020	cellular_component	endolysosome membrane	52	64	44	64	72	34	41	33	41	63
GO:0009257	biological_process	10-formyltetrahydrofolate biosynthetic process	38	47	27	47	53	29	41	29	41	63
GO:0071034	biological_process	CUT catabolic process	37	38	24	38	43	40	41	24	41	63
GO:0071383	biological_process	cellular response to steroid hormone stimulus	34	60	45	60	67	34	41	24	41	63
GO:0102203	molecular_function	brassicasterol glucosyltransferase activity	39	60	54	60	67	34	40	30	40	61
GO:0102205	molecular_function	cholesterol allpha-glucosyltransferase activity	39	60	54	60	67	34	40	30	40	61
GO:0008656	molecular_function	cysteine-type endopeptidase activator activity involved in apoptotic process	39	43	24	43	48	34	39	20	39	60
GO:0098633	molecular_function	collagen fibril binding	31	35	32	35	39	34	39	33	39	60
GO:0030283	molecular_function	testosterone dehydrogenase [NAD(P)] activity	28	50	34	50	56	30	39	24	39	60
GO:0003916	molecular_function	DNA topoisomerase activity	71	81	41	81	91	34	38	27	38	58
GO:0015144	molecular_function	carbohydrate transmembrane transporter activity	59	71	50	71	79	34	38	27	38	58
GO:0052794	molecular_function	exo-alpha-(2->3)-sialidase activity	58	68	61	68	76	34	38	36	38	58
GO:0052795	molecular_function	exo-alpha-(2->6)-sialidase activity	58	68	61	68	76	34	38	36	38	58
GO:0052796	molecular_function	exo-alpha-(2->8)-sialidase activity	58	68	61	68	76	34	38	36	38	58
GO:0003883	molecular_function	CTP synthase activity	52	83	60	83	93	22	38	27	38	58
GO:0019877	biological_process	diaminopimelate biosynthetic process	52	63	40	63	71	34	38	30	38	58
GO:0071629	biological_process	cytoplasm protein quality control by the ubiquitin-proteasome system	40	45	32	45	50	34	38	16	38	58
GO:0004849	molecular_function	uridine kinase activity	35	46	37	46	51	30	38	29	38	58
GO:0042777	biological_process	plasma membrane ATP synthesis coupled proton transport	26	34	21	34	38	26	38	26	38	58
GO:0046923	molecular_function	ER retention sequence binding	41	63	49	63	71	29	37	25	37	57
GO:0033555	biological_process	multicellular organismal response to stress	39	50	41	50	56	34	37	31	37	57
GO:0004475	molecular_function	mannose-1-phosphate guanylyltransferase activity	37	40	19	40	45	34	37	11	37	57
GO:0001833	biological_process	inner cell mass cell proliferation	30	39	31	39	44	29	37	30	37	57
GO:0042288	molecular_function	MHC class I protein binding	28	42	32	42	47	17	37	29	37	57
GO:0016688	molecular_function	L-ascorbate peroxidase activity	58	89	67	89	100	22	36	31	36	55
GO:0031348	biological_process	negative regulation of defense response	38	48	35	48	54	25	36	29	36	55
GO:0071375	biological_process	cellular response to peptide hormone stimulus	38	42	30	42	47	34	36	27	36	55
GO:0004745	molecular_function	retinol dehydrogenase activity	35	43	32	43	48	27	36	30	36	55
GO:0045984	biological_process	negative regulation of pyrimidine nucleobase metabolic process	35	61	48	61	68	28	36	24	36	55
GO:0099003	biological_process	vesicle-mediated transport in synapse	35	40	32	40	45	30	36	27	36	55
GO:0044211	biological_process	CTP salvage	34	45	36	45	50	28	36	27	36	55
GO:0043392	biological_process	negative regulation of DNA binding	33	43	25	43	48	25	36	26	36	55
GO:1990145	biological_process	maintenance of translational fidelity	32	33	7	33	37	34	36	10	36	55
GO:0006884	biological_process	cell volume homeostasis	40	62	51	62	69	25	35	29	35	54
GO:0032364	biological_process	oxygen homeostasis	39	51	33	51	57	28	35	26	35	54
GO:0051903	molecular_function	S-(hydroxymethyl)glutathione dehydrogenase activity	39	44	27	44	49	30	35	20	35	54
GO:0047280	molecular_function	nicotinamide phosphoribosyltransferase activity	37	58	40	58	65	22	35	29	35	54
GO:0050451	molecular_function	CoA-disulfide reductase activity	37	71	47	71	79	21	35	24	35	54
GO:0061564	biological_process	axon development	37	48	30	48	54	29	35	23	35	54
GO:2000051	biological_process	negative regulation of non-canonical Wnt signaling pathway	37	51	37	51	57	29	35	24	35	54
GO:0000389	biological_process	mRNA 3-splice site recognition	35	50	38	50	56	34	35	20	35	54
GO:0043137	biological_process	DNA replication, removal of RNA primer	34	40	23	40	45	29	35	20	35	54
GO:0002062	biological_process	chondrocyte differentiation	33	39	26	39	44	29	35	22	35	54
GO:0017069	molecular_function	snRNA binding	31	39	31	39	44	28	35	28	35	54
GO:0060179	biological_process	male mating behavior	31	42	37	42	47	34	35	29	35	54
GO:0003429	biological_process	growth plate cartilage chondrocyte morphogenesis	39	54	50	54	60	29	34	32	34	52
GO:1900126	biological_process	negative regulation of hyaluronan biosynthetic process	39	47	32	47	53	28	34	25	34	52
GO:0046208	biological_process	spermine catabolic process	38	40	31	40	45	30	34	21	34	52
GO:0030643	biological_process	cellular phosphate ion homeostasis	32	36	23	36	40	29	34	20	34	52
GO:0047938	molecular_function	glucose-6-phosphate 1-epimerase activity	30	61	47	61	68	22	34	30	34	52
GO:0035673	molecular_function	oligopeptide transmembrane transporter activity	24	46	33	46	51	22	34	27	34	52
GO:0043236	molecular_function	laminin binding	40	41	28	41	46	29	33	25	33	51
GO:0015410	molecular_function	manganese transmembrane transporter activity, phosphorylative mechanism	39	45	36	45	50	29	33	28	33	51
GO:0003913	molecular_function	DNA photolyase activity	38	58	40	58	65	22	33	23	33	51
GO:0106029	molecular_function	tRNA pseudouridine synthase activity	38	41	19	41	46	29	33	22	33	51
GO:2000773	biological_process	negative regulation of cellular senescence	38	44	24	44	49	29	33	24	33	51
GO:0009048	biological_process	dosage compensation by inactivation of X chromosome	33	35	29	35	39	26	33	27	33	51
GO:0071468	biological_process	cellular response to acidic pH	33	39	26	39	44	29	33	19	33	51
GO:0002682	biological_process	regulation of immune system process	32	35	35	35	39	29	33	33	33	51
GO:0006203	biological_process	dGTP catabolic process	32	40	29	40	45	28	33	27	33	51
GO:0050113	molecular_function	inositol oxygenase activity	24	28	19	28	31	28	33	18	33	51
GO:0097177	molecular_function	mitochondrial ribosome binding	24	41	41	41	46	26	33	28	33	51
GO:0008655	biological_process	pyrimidine-containing compound salvage	23	25	17	25	28	28	33	22	33	51
GO:0007317	biological_process	regulation of pole plasm oskar mRNA localization	41	61	45	61	68	27	32	25	32	49
GO:0004642	molecular_function	phosphoribosylformylglycinamidine synthase activity	40	47	30	47	53	26	32	24	32	49
GO:0009813	biological_process	flavonoid biosynthetic process	40	46	38	46	51	29	32	22	32	49
GO:0017017	molecular_function	MAP kinase tyrosine/serine/threonine phosphatase activity	40	55	43	55	62	28	32	24	32	49
GO:1990641	biological_process	response to iron ion starvation	39	52	32	52	58	28	32	25	32	49
GO:0004644	molecular_function	phosphoribosylglycinamide formyltransferase activity	38	68	51	68	76	21	32	22	32	49
GO:0004460	molecular_function	L-lactate dehydrogenase (cytochrome) activity	37	52	26	52	58	19	32	19	32	49
GO:0001887	biological_process	selenium compound metabolic process	35	40	29	40	45	30	32	17	32	49
GO:0071548	biological_process	response to dexamethasone	35	42	34	42	47	25	32	25	32	49
GO:0042331	biological_process	phototaxis	33	38	26	38	43	28	32	20	32	49
GO:0070742	molecular_function	C2H2 zinc finger domain binding	33	49	33	49	55	25	32	24	32	49
GO:0031681	molecular_function	G-protein beta-subunit binding	32	44	24	44	49	26	32	17	32	49
GO:0007548	biological_process	sex differentiation	31	35	24	35	39	28	32	21	32	49
GO:0016327	cellular_component	apicolateral plasma membrane	30	32	20	32	36	25	32	24	32	49
GO:0044805	biological_process	late nucleophagy	28	32	26	32	36	28	32	14	32	49
GO:1990592	biological_process	protein K69-linked ufmylation	26	28	14	28	31	29	32	15	32	49
GO:0009882	molecular_function	blue light photoreceptor activity	72	80	49	80	90	29	31	22	31	47
GO:0042417	biological_process	dopamine metabolic process	60	73	56	73	82	29	31	19	31	47
GO:0071917	molecular_function	triose-phosphate transmembrane transporter activity	46	65	45	65	73	28	31	14	31	47
GO:0008460	molecular_function	dTDP-glucose 4,6-dehydratase activity	41	47	26	47	53	29	31	18	31	47
GO:0070412	molecular_function	R-SMAD binding	41	48	37	48	54	29	31	25	31	47
GO:0016783	molecular_function	sulfurtransferase activity	40	40	19	40	45	30	31	19	31	47
GO:0005664	cellular_component	nuclear origin of replication recognition complex	39	46	32	46	51	28	31	28	31	47
GO:0016251	molecular_function	RNA polymerase II general transcription initiation factor activity	39	40	25	40	45	30	31	23	31	47
GO:0060546	biological_process	negative regulation of necroptotic process	39	44	25	44	49	29	31	15	31	47
GO:1990385	cellular_component	meiotic spindle midzone	39	47	38	47	53	29	31	18	31	47
GO:0051864	molecular_function	histone demethylase activity (H3-K36 specific)	38	43	27	43	48	28	31	24	31	47
GO:0006226	biological_process	dUMP biosynthetic process	34	40	25	40	45	22	31	22	31	47
GO:0086045	biological_process	membrane depolarization during AV node cell action potential	34	46	46	46	51	25	31	30	31	47
GO:0016799	molecular_function	hydrolase activity, hydrolyzing N-glycosyl compounds	33	45	40	45	50	22	31	27	31	47
GO:0071966	biological_process	fungal-type cell wall polysaccharide metabolic process	33	55	44	55	62	24	31	25	31	47
GO:0102009	molecular_function	proline dipeptidase activity	33	39	27	39	44	29	31	14	31	47
GO:0009991	biological_process	response to extracellular stimulus	32	38	23	38	43	29	31	18	31	47
GO:0004776	molecular_function	succinate-CoA ligase (GDP-forming) activity	31	35	22	35	39	28	31	20	31	47
GO:0035035	molecular_function	histone acetyltransferase binding	31	33	23	33	37	26	31	18	31	47
GO:0042832	biological_process	defense response to protozoan	31	38	34	38	43	29	31	26	31	47
GO:0009094	biological_process	L-phenylalanine biosynthetic process	30	47	33	47	53	28	31	14	31	47
GO:0036435	molecular_function	K48-linked polyubiquitin modification-dependent protein binding	30	37	28	37	41	29	31	25	31	47
GO:0065002	biological_process	intracellular protein transmembrane transport	30	33	23	33	37	28	31	23	31	47
GO:0004055	molecular_function	argininosuccinate synthase activity	27	40	26	40	45	18	31	19	31	47
GO:0030865	biological_process	cortical cytoskeleton organization	27	33	17	33	37	29	31	21	31	47
GO:0042175	cellular_component	nuclear outer membrane-endoplasmic reticulum membrane network	26	46	32	46	51	21	31	22	31	47
GO:0043548	molecular_function	phosphatidylinositol 3-kinase binding	26	29	20	29	32	28	31	23	31	47
GO:0034634	molecular_function	glutathione transmembrane transporter activity	24	26	24	26	29	29	31	21	31	47
GO:0043532	molecular_function	angiostatin binding	16	28	21	28	31	11	31	24	31	47
GO:0005833	cellular_component	hemoglobin complex	8	9	8	9	10	17	31	22	31	47
GO:0031977	cellular_component	thylakoid lumen	132	141	81	141	158	30	30	19	30	46
GO:0010027	biological_process	thylakoid membrane organization	121	137	81	137	153	29	30	21	30	46
GO:0008090	biological_process	retrograde axonal transport	57	62	33	62	69	28	30	21	30	46
GO:0035251	molecular_function	UDP-glucosyltransferase activity	41	41	29	41	46	30	30	19	30	46
GO:0071168	biological_process	protein localization to chromatin	41	44	33	44	49	25	30	20	30	46
GO:0000749	biological_process	response to pheromone triggering conjugation with cellular fusion	40	44	25	44	49	29	30	17	30	46
GO:0045542	biological_process	positive regulation of cholesterol biosynthetic process	40	51	35	51	57	25	30	25	30	46
GO:0005775	cellular_component	vacuolar lumen	39	50	29	50	56	25	30	24	30	46
GO:0019862	molecular_function	IgA binding	39	42	31	42	47	28	30	27	30	46
GO:0000829	molecular_function	inositol heptakisphosphate kinase activity	38	47	33	47	53	26	30	22	30	46
GO:0030241	biological_process	skeletal muscle myosin thick filament assembly	38	44	33	44	49	29	30	26	30	46
GO:0033857	molecular_function	diphosphoinositol-pentakisphosphate kinase activity	38	47	33	47	53	26	30	22	30	46
GO:0102092	molecular_function	5-diphosphoinositol pentakisphosphate 3-kinase activity	38	47	33	47	53	26	30	22	30	46
GO:0006853	biological_process	carnitine shuttle	37	38	23	38	43	28	30	22	30	46
GO:0080009	biological_process	mRNA methylation	37	46	37	46	51	25	30	20	30	46
GO:0006359	biological_process	regulation of transcription by RNA polymerase III	35	37	28	37	41	28	30	23	30	46
GO:0050769	biological_process	positive regulation of neurogenesis	35	38	25	38	43	25	30	22	30	46
GO:1900055	biological_process	regulation of leaf senescence	35	47	37	47	53	25	30	27	30	46
GO:0006598	biological_process	polyamine catabolic process	34	36	27	36	40	26	30	21	30	46
GO:0015909	biological_process	long-chain fatty acid transport	34	39	25	39	44	25	30	18	30	46
GO:0070143	biological_process	mitochondrial alanyl-tRNA aminoacylation	33	45	37	45	50	26	30	23	30	46
GO:0032743	biological_process	positive regulation of interleukin-2 production	32	43	33	43	48	28	30	22	30	46
GO:0043008	molecular_function	ATP-dependent protein binding	32	36	19	36	40	28	30	18	30	46
GO:0055013	biological_process	cardiac muscle cell development	32	34	24	34	38	22	30	23	30	46
GO:0071321	biological_process	cellular response to cGMP	32	40	34	40	45	29	30	25	30	46
GO:0001030	molecular_function	RNA polymerase III type 1 promoter DNA binding	31	35	20	35	39	26	30	21	30	46
GO:0001031	molecular_function	RNA polymerase III type 2 promoter DNA binding	31	35	20	35	39	26	30	21	30	46
GO:0001032	molecular_function	RNA polymerase III type 3 promoter DNA binding	31	35	20	35	39	26	30	21	30	46
GO:0015744	biological_process	succinate transport	31	33	20	33	37	28	30	15	30	46
GO:0034705	cellular_component	potassium channel complex	31	33	33	33	37	28	30	26	30	46
GO:0045724	biological_process	positive regulation of cilium assembly	31	42	37	42	47	28	30	21	30	46
GO:1903673	biological_process	mitotic cleavage furrow formation	31	35	21	35	39	28	30	18	30	46
GO:0004014	molecular_function	adenosylmethionine decarboxylase activity	30	37	24	37	41	29	30	13	30	46
GO:0004366	molecular_function	glycerol-3-phosphate O-acyltransferase activity	30	45	39	45	50	25	30	22	30	46
GO:0048286	biological_process	lung alveolus development	30	33	23	33	37	28	30	22	30	46
GO:0036372	biological_process	opsin transport	28	30	17	30	34	29	30	18	30	46
GO:0009664	biological_process	plant-type cell wall organization	26	28	16	28	31	25	30	12	30	46
GO:0061098	biological_process	positive regulation of protein tyrosine kinase activity	26	27	18	27	30	26	30	16	30	46
GO:1901076	biological_process	positive regulation of engulfment of apoptotic cell	26	30	15	30	34	26	30	17	30	46
GO:0031467	cellular_component	Cul7-RING ubiquitin ligase complex	24	31	20	31	35	29	30	12	30	46
GO:0050145	molecular_function	nucleoside monophosphate kinase activity	24	31	23	31	35	29	30	17	30	46
GO:0043564	cellular_component	Ku70:Ku80 complex	23	26	22	26	29	29	30	24	30	46
GO:0006996	biological_process	organelle organization	41	42	30	42	47	25	29	19	29	44
GO:0009243	biological_process	O antigen biosynthetic process	41	48	37	48	54	29	29	20	29	44
GO:0035262	biological_process	gonad morphogenesis	41	52	36	52	58	29	29	18	29	44
GO:0046294	biological_process	formaldehyde catabolic process	41	42	21	42	47	28	29	12	29	44
GO:0046956	biological_process	positive phototaxis	41	50	23	50	56	29	29	14	29	44
GO:0072384	biological_process	organelle transport along microtubule	41	48	35	48	54	28	29	20	29	44
GO:0035914	biological_process	skeletal muscle cell differentiation	40	48	32	48	54	27	29	21	29	44
GO:0004845	molecular_function	uracil phosphoribosyltransferase activity	39	44	21	44	49	24	29	20	29	44
GO:0045806	biological_process	negative regulation of endocytosis	39	41	26	41	46	28	29	19	29	44
GO:0052862	molecular_function	glucan endo-1,4-beta-glucanase activity, C-3 substituted reducing group	39	44	34	44	49	28	29	16	29	44
GO:0002028	biological_process	regulation of sodium ion transport	38	47	33	47	53	28	29	16	29	44
GO:0048103	biological_process	somatic stem cell division	38	46	39	46	51	25	29	23	29	44
GO:0051602	biological_process	response to electrical stimulus	38	42	24	42	47	25	29	20	29	44
GO:0097233	cellular_component	alveolar lamellar body membrane	38	46	33	46	51	28	29	19	29	44
GO:1904724	cellular_component	tertiary granule lumen	38	39	24	39	44	26	29	22	29	44
GO:0002151	molecular_function	G-quadruplex RNA binding	37	39	28	39	44	28	29	25	29	44
GO:0016539	biological_process	intein-mediated protein splicing	37	48	34	48	54	26	29	20	29	44
GO:0031095	cellular_component	platelet dense tubular network membrane	35	45	32	45	50	28	29	21	29	44
GO:0003952	molecular_function	NAD+ synthase (glutamine-hydrolyzing) activity	34	38	27	38	43	26	29	20	29	44
GO:0007280	biological_process	pole cell migration	34	38	24	38	43	28	29	19	29	44
GO:0017109	cellular_component	glutamate-cysteine ligase complex	34	37	22	37	41	25	29	17	29	44
GO:0030318	biological_process	melanocyte differentiation	34	40	29	40	45	26	29	17	29	44
GO:0032434	biological_process	regulation of proteasomal ubiquitin-dependent protein catabolic process	34	35	29	35	39	27	29	19	29	44
GO:0045581	biological_process	negative regulation of T cell differentiation	34	36	25	36	40	28	29	22	29	44
GO:0050882	biological_process	voluntary musculoskeletal movement	34	37	25	37	41	27	29	20	29	44
GO:0106034	biological_process	protein maturation by [2Fe-2S] cluster transfer	34	34	19	34	38	28	29	12	29	44
GO:0000799	cellular_component	nuclear condensin complex	33	40	31	40	45	26	29	24	29	44
GO:0016614	molecular_function	oxidoreductase activity, acting on CH-OH group of donors	33	36	22	36	40	26	29	17	29	44
GO:0097105	biological_process	presynaptic membrane assembly	33	38	28	38	43	29	29	26	29	44
GO:0006525	biological_process	arginine metabolic process	32	32	24	32	36	26	29	19	29	44
GO:0010305	biological_process	leaf vascular tissue pattern formation	32	40	26	40	45	25	29	12	29	44
GO:0044466	molecular_function	glutaryl-CoA hydrolase activity	32	32	18	32	36	29	29	15	29	44
GO:0044540	molecular_function	L-cystine L-cysteine-lyase (deaminating)	32	32	16	32	36	26	29	16	29	44
GO:0045638	biological_process	negative regulation of myeloid cell differentiation	32	37	24	37	41	29	29	20	29	44
GO:0001658	biological_process	branching involved in ureteric bud morphogenesis	31	31	22	31	35	29	29	24	29	44
GO:0002536	biological_process	respiratory burst involved in inflammatory response	31	33	24	33	37	28	29	22	29	44
GO:0004821	molecular_function	histidine-tRNA ligase activity	31	43	33	43	48	22	29	23	29	44
GO:0006427	biological_process	histidyl-tRNA aminoacylation	31	43	33	43	48	22	29	23	29	44
GO:0008743	molecular_function	L-threonine 3-dehydrogenase activity	31	35	23	35	39	26	29	21	29	44
GO:0050613	molecular_function	delta14-sterol reductase activity	31	47	35	47	53	26	29	24	29	44
GO:1900062	biological_process	regulation of replicative cell aging	31	33	28	33	37	28	29	16	29	44
GO:1903843	biological_process	cellular response to arsenite ion	31	32	21	32	36	28	29	19	29	44
GO:0035315	biological_process	hair cell differentiation	30	31	22	31	35	29	29	26	29	44
GO:0048825	biological_process	cotyledon development	30	30	16	30	34	28	29	13	29	44
GO:0070981	biological_process	L-asparagine biosynthetic process	30	37	24	37	41	26	29	12	29	44
GO:0006169	biological_process	adenosine salvage	28	39	31	39	44	23	29	19	29	44
GO:0140212	biological_process	regulation of long-chain fatty acid import into cell	28	36	27	36	40	23	29	15	29	44
GO:0048800	biological_process	antennal morphogenesis	27	30	20	30	34	26	29	22	29	44
GO:0080122	molecular_function	AMP transmembrane transporter activity	27	36	30	36	40	28	29	19	29	44
GO:0004170	molecular_function	dUTP diphosphatase activity	24	30	20	30	34	21	29	20	29	44
GO:0008091	cellular_component	spectrin	23	23	15	23	26	27	29	22	29	44
GO:0033814	molecular_function	propanoyl-CoA C-acyltransferase activity	23	24	15	24	27	17	29	19	29	44
GO:0045551	molecular_function	cinnamyl-alcohol dehydrogenase activity	19	20	9	20	22	28	29	11	29	44
GO:0052747	molecular_function	sinapyl alcohol dehydrogenase activity	19	20	9	20	22	28	29	11	29	44
GO:0004855	molecular_function	xanthine oxidase activity	41	47	33	47	53	26	28	22	28	43
GO:0009698	biological_process	phenylpropanoid metabolic process	40	47	28	47	53	26	28	15	28	43
GO:0015706	biological_process	nitrate transport	40	56	34	56	63	25	28	18	28	43
GO:0050709	biological_process	negative regulation of protein secretion	40	42	30	42	47	25	28	24	28	43
GO:0071243	biological_process	cellular response to arsenic-containing substance	40	51	27	51	57	25	28	12	28	43
GO:0097053	biological_process	L-kynurenine catabolic process	40	42	25	42	47	26	28	20	28	43
GO:0008611	biological_process	ether lipid biosynthetic process	39	41	29	41	46	28	28	15	28	43
GO:0031996	molecular_function	thioesterase binding	39	40	23	40	45	27	28	18	28	43
GO:0001975	biological_process	response to amphetamine	38	39	30	39	44	27	28	21	28	43
GO:0033523	biological_process	histone H2B ubiquitination	38	39	25	39	44	26	28	22	28	43
GO:1902570	biological_process	protein localization to nucleolus	38	41	33	41	46	28	28	15	28	43
GO:0002177	cellular_component	manchette	37	45	30	45	50	26	28	18	28	43
